label,hours,minutes,day,someonePresent,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarOld,sensorsNearBy.weather_station.light_level.lastMeasurementBeforeAction,sensorsNearBy.weather_station.light_level.meanRightBefore,sensorsNearBy.weather_station.light_level.meanOld,sensorsNearBy.weather_station.light_level.stdev,sensorsNearBy.weather_station.light_level.maxVarRightBefore,sensorsNearBy.weather_station.light_level.maxVarOld,sensorsNearBy.weather_station.rain_intensity.lastMeasurementBeforeAction,sensorsNearBy.weather_station.rain_intensity.meanRightBefore,sensorsNearBy.weather_station.rain_intensity.meanOld,sensorsNearBy.weather_station.rain_intensity.stdev,sensorsNearBy.weather_station.rain_intensity.maxVarRightBefore,sensorsNearBy.weather_station.rain_intensity.maxVarOld,sensorsNearBy.weather_station.sun_azimuth.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_azimuth.meanRightBefore,sensorsNearBy.weather_station.sun_azimuth.meanOld,sensorsNearBy.weather_station.sun_azimuth.stdev,sensorsNearBy.weather_station.sun_azimuth.maxVarRightBefore,sensorsNearBy.weather_station.sun_azimuth.maxVarOld,sensorsNearBy.weather_station.sun_elevation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_elevation.meanRightBefore,sensorsNearBy.weather_station.sun_elevation.meanOld,sensorsNearBy.weather_station.sun_elevation.stdev,sensorsNearBy.weather_station.sun_elevation.maxVarRightBefore,sensorsNearBy.weather_station.sun_elevation.maxVarOld,sensorsNearBy.weather_station.sun_radiation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_radiation.meanRightBefore,sensorsNearBy.weather_station.sun_radiation.meanOld,sensorsNearBy.weather_station.sun_radiation.stdev,sensorsNearBy.weather_station.sun_radiation.maxVarRightBefore,sensorsNearBy.weather_station.sun_radiation.maxVarOld,sensorsNearBy.weather_station.temperature.lastMeasurementBeforeAction,sensorsNearBy.weather_station.temperature.meanRightBefore,sensorsNearBy.weather_station.temperature.meanOld,sensorsNearBy.weather_station.temperature.stdev,sensorsNearBy.weather_station.temperature.maxVarRightBefore,sensorsNearBy.weather_station.temperature.maxVarOld,sensorsNearBy.weather_station.wind_speed.lastMeasurementBeforeAction,sensorsNearBy.weather_station.wind_speed.meanRightBefore,sensorsNearBy.weather_station.wind_speed.meanOld,sensorsNearBy.weather_station.wind_speed.stdev,sensorsNearBy.weather_station.wind_speed.maxVarRightBefore,sensorsNearBy.weather_station.wind_speed.maxVarOld
0,13,42,2,1,40.844,40.77525,40.69144444444444,0.06663351739947095,0.13000000000000256,0.19899999999999807,42800,36405.5,34767.11111111111,14663.055378250501,12789,41318,0,0,0,0,0,0,22.455,22.476499999999998,22.581444444444443,0.06304739771770446,0.054000000000002046,0.11799999999999855,0,0,0,0,0,0,11724.8,10147.84,17702.034285714286,8023.352456762567,4382.72,26695.68,0,0,0,0,0,0,199,199,196.93333333333334,1.49853729853071,0,4,196,196,198,0.8377078165833911,0,0,86.96,73.24,109.10400000000001,30.829493132123105,21.959999999999994,94.96000000000001,3.2,2.575,2.5071428571428567,0.3020626260651249,1,0.7999999999999998,0.2,0.925,0.9071428571428573,0.4142873241219246,1.6,1.2000000000000002
1,14,22,2,1,40.02,40.062,40.284181818181814,0.17338415921492598,0.0759999999999934,0.4579999999999984,44625,45838.5,50759,3635.6945075708645,2427,8353,0,0,0,0,0,0,22.734,22.75,22.68218181818182,0.05076341014474712,0.031999999999996476,0.14000000000000057,0,0,0,0,0,0,75816.96,76369.92000000001,80606.12923076922,4399.770856236518,1105.9199999999983,14172.159999999989,0,0,0,0,0,0,209,209,206.42857142857142,1.6803361008336117,0,4,193,194,195,0.6467616667635545,2,0,212.96,214.68,245.25538461538466,28.66551279027486,4,91.03999999999999,4.5,4.9,5.13846153846154,0.5306073102088387,0.7999999999999998,1.5999999999999996,2.4,1.85,1.2571428571428573,0.7482441319821704,0.7999999999999998,2.8
1,14,52,2,1,39.722,39.75475,39.81085714285714,0.0554839862237097,0.1530000000000058,0.09899999999999665,34020,35842.25,40339.142857142855,2728.1221913450086,4720,3073,0,0,0,0,0,0,22.895,22.8735,22.830142857142853,0.026640024570013493,0.053999999999998494,0.021000000000000796,0,0,0,0,0,0,67010.56,67891.2,71125.46461538463,1924.8412313807953,1474.5599999999977,4423.679999999993,0,0,0,0,0,0,216,215.75,213.14285714285714,1.601673960930933,1,3,192,192,192.28571428571428,0.42779263194649864,0,1,162.96,165.46,182.42285714285717,9.961063019105351,5.039999999999992,23.039999999999992,7,7.425,5.207692307692308,1.0658123110346123,0.7999999999999998,1.7000000000000002,0.8,0.7,1.3923076923076925,0.5096134636692218,0.6000000000000001,1.4000000000000001
1,15,22,2,1,39.6,39.63075,39.536625,0.06929252878524927,0.06899999999999551,0.14500000000000313,17844,20078,27224.5,3887.6498704424907,4468,3745,0,0,0,0,0,0,22.863,22.85725,22.843749999999996,0.02335156214357998,0.043000000000002814,0.053000000000000824,0,0,0,0,0,0,53411.84,61184,61846.67428571428,3339.418629895646,14622.720000000001,8683.51999999999,0,0,0,0,0,0,222,222,219.35714285714286,1.2113299556429324,0,1,188,188,188.92857142857142,0.4608885989624768,0,1,112.96,122.97999999999999,135.19428571428574,7.776840429044663,15.040000000000006,16,6.4,5.75,5.128571428571428,0.5583589400039664,1.7999999999999998,1.5,0.8,0.8500000000000001,1.7538461538461538,0.641345093854911,0.09999999999999998,1.9999999999999998
1,15,52,2,1,39.898,39.844500000000004,39.84625,0.03699010485444456,0.12199999999999989,0.0379999999999967,866,49358.75,33593.25,33083.40969644539,64657,63667,0,0,0,0,0,0,22.798,22.8035,22.795499999999997,0.006803360514166721,0.011000000000002785,0.00999999999999801,0,0,0,0,0,0,3079.68,3111.6800000000003,5048.5169230769225,3524.698707791332,110.07999999999993,13583.36,0,0,0,0,0,0,227,227,225.28571428571428,1.1375929179890423,0,2,185,185,185.64285714285714,0.5144957554275266,0,1,26,26,32,9.317914434666411,0,35,1.9,1.9249999999999998,2.6142857142857143,0.6194294233062522,0.10000000000000009,2.1999999999999997,1.5,1.5499999999999998,1.3071428571428572,0.4117950502357851,0.7999999999999998,1.4
1,16,22,2,1,39.921,39.91875,39.825625,0.059663196106954544,0.06099999999999994,0.14500000000000313,56073,56502.75,58840.625,1419.8492450918438,573,2977,0,0,0,0,0,0,22.863,22.852,22.845000000000002,0.01262273081917475,0.021999999999998465,0.043000000000002814,0,0,0,0,0,0,549.76,617.3599999999999,2090.1028571428574,1270.3050360120783,129.91999999999996,3608.96,0,0,0,0,0,0,233,233,231.5,1.3826657968874305,0,4,181,181,181.6153846153846,0.5144957554275266,0,1,15,15.25,19.285714285714285,2.9731917666113894,2,8,1.8,1.75,1.9928571428571424,0.1539246908637999,0.10000000000000009,0.40000000000000013,0.7,0.875,1.3428571428571432,0.5180720922906941,0.30000000000000004,2.1999999999999997
1,16,52,2,1,40.073,39.959,39.89783333333333,0.07966882842255311,0.21300000000000097,0.1980000000000004,53284,53380.75,53406.166666666664,139.29664588767224,129,439,0,0,0,0,0,0,22.777,22.7795,22.830333333333332,0.029597297173897523,0.03200000000000003,0.04299999999999926,0,0,0,0,0,0,10,22.5,115.70857142857143,66.96566549774262,20,200,0,0,0,0,0,0,239,239,236.57142857142858,1.278274981412284,0,3,176,176,178.28571428571428,1.0602749674192766,0,1,0,0,7.142857142857143,5.147497647026543,0,11,1.7,1.6500000000000001,1.6857142857142855,0.08782037520219092,0.09999999999999987,0.3999999999999999,2.3,1.075,1.4285714285714286,0.6870653706376212,1.9999999999999998,2
1,17,22,2,1,40.272,40.251,40.122428571428564,0.09708946202530734,0.05399999999999494,0.20600000000000307,52599,52599,52019.57142857143,737.0320333484959,0,1982,0,0,0,0,0,0,22.584,22.60525,22.723285714285712,0.08502619917092952,0.03200000000000003,0.20400000000000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,243.5,242,1.204280863279334,1,3,172,172,173.93333333333334,1.1239029738980326,0,3,0,0,0,0,0,0,1.7,1.675,1.6076923076923075,0.0903424856082804,0.09999999999999987,0.30000000000000004,1.7,1.225,1.5384615384615385,0.8215390864640801,1.4,2.5
1,17,52,2,1,40.226,40.25475,40.239555555555555,0.034051808190251734,0.08400000000000318,0.09199999999999875,52577,52568.75,52591.88888888889,17.132590026777653,11,45,0,0,0,0,0,0,22.444,22.447,22.471777777777774,0.025520730638202947,0.03200000000000003,0.08600000000000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,249,246.78571428571428,1.2744343869089327,2,2,168,168,169.07142857142858,0.9235481451827992,0,3,0,0,0,0,0,0,1.2,1.2000000000000002,1.5615384615384613,0.17863864281247313,0.19999999999999996,0.30000000000000004,0.8,0.7,1.0642857142857145,0.6697233845138648,0.30000000000000004,2.2
0,18,47,2,0,40.31,40.317750000000004,40.30255555555556,0.01443464493359474,0.015000000000000568,0.045999999999999375,9,9,8,1.3155870289605438,0,3,0,0,0,0,0,0,22.005,22.01825,22.123777777777782,0.06932698442331647,0.03200000000000003,0.16100000000000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258,256.7857142857143,0.639137490706142,0,1,158,158,160.4,1.2425214883947913,0,3,0,0,0,0,0,0,-0.6,-0.7500000000000001,-0.7538461538461537,0.19722337291388517,0.30000000000000004,0.7,0.5,0.525,0.7000000000000001,0.17500000000000002,0.29999999999999993,0.5
