label,hours,minutes,day,someonePresent,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarOld,sensorsNearBy.weather_station.light_level.lastMeasurementBeforeAction,sensorsNearBy.weather_station.light_level.meanRightBefore,sensorsNearBy.weather_station.light_level.meanOld,sensorsNearBy.weather_station.light_level.stdev,sensorsNearBy.weather_station.light_level.maxVarRightBefore,sensorsNearBy.weather_station.light_level.maxVarOld,sensorsNearBy.weather_station.rain_intensity.lastMeasurementBeforeAction,sensorsNearBy.weather_station.rain_intensity.meanRightBefore,sensorsNearBy.weather_station.rain_intensity.meanOld,sensorsNearBy.weather_station.rain_intensity.stdev,sensorsNearBy.weather_station.rain_intensity.maxVarRightBefore,sensorsNearBy.weather_station.rain_intensity.maxVarOld,sensorsNearBy.weather_station.sun_azimuth.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_azimuth.meanRightBefore,sensorsNearBy.weather_station.sun_azimuth.meanOld,sensorsNearBy.weather_station.sun_azimuth.stdev,sensorsNearBy.weather_station.sun_azimuth.maxVarRightBefore,sensorsNearBy.weather_station.sun_azimuth.maxVarOld,sensorsNearBy.weather_station.sun_elevation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_elevation.meanRightBefore,sensorsNearBy.weather_station.sun_elevation.meanOld,sensorsNearBy.weather_station.sun_elevation.stdev,sensorsNearBy.weather_station.sun_elevation.maxVarRightBefore,sensorsNearBy.weather_station.sun_elevation.maxVarOld,sensorsNearBy.weather_station.sun_radiation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_radiation.meanRightBefore,sensorsNearBy.weather_station.sun_radiation.meanOld,sensorsNearBy.weather_station.sun_radiation.stdev,sensorsNearBy.weather_station.sun_radiation.maxVarRightBefore,sensorsNearBy.weather_station.sun_radiation.maxVarOld,sensorsNearBy.weather_station.temperature.lastMeasurementBeforeAction,sensorsNearBy.weather_station.temperature.meanRightBefore,sensorsNearBy.weather_station.temperature.meanOld,sensorsNearBy.weather_station.temperature.stdev,sensorsNearBy.weather_station.temperature.maxVarRightBefore,sensorsNearBy.weather_station.temperature.maxVarOld,sensorsNearBy.weather_station.wind_speed.lastMeasurementBeforeAction,sensorsNearBy.weather_station.wind_speed.meanRightBefore,sensorsNearBy.weather_station.wind_speed.meanOld,sensorsNearBy.weather_station.wind_speed.stdev,sensorsNearBy.weather_station.wind_speed.maxVarRightBefore,sensorsNearBy.weather_station.wind_speed.maxVarOld
1,8,52,1,1,40.348,40.17075,39.97054545454545,0.1298754714918802,0.4200000000000017,0.09100000000000108,16607,16329.75,11626.90909090909,2822.085247269675,1109,5804,0,0,0,0,0,0,20.964,20.90775,20.83,0.04289433307004315,0.10699999999999932,0.021999999999998465,0,0,0,0,0,0,3578.88,3463.6800000000003,2179.9384615384615,834.3172003359816,220.1600000000003,1909.7600000000002,0,0,0,0,0,0,133,133,130.5,1.3048426644944469,0,3,185,185,184.28571428571428,0.7838233761296741,0,3,50,49.25,33.285714285714285,9.799459769023285,2,21,2.3,2.625,2.223076923076923,0.5536642643760376,0.6000000000000001,1.5,0.8,0.75,0.6384615384615384,0.1656093916063799,0.10000000000000009,0.6000000000000001
1,8,58,1,1,40.325,40.27,39.950250000000004,0.16816487220113618,0.2359999999999971,0.06799999999999784,2444,13066.25,12934.75,4115.4221579175555,14163,5234,0,0,0,0,0,0,21.061,20.958750000000002,20.835874999999998,0.07302780707415936,0.18299999999999983,0.03200000000000003,0,0,0,0,0,0,3998.72,3858.56,2802.8061538461543,745.9216513974706,320,1909.7600000000002,0,0,0,0,0,0,133,133,131.46666666666667,1.3572417850765923,0,3,186,186,184.73333333333332,0.6666666666666666,0,1,53,53.25,40.142857142857146,9.32720386965696,2,24,2.2,2.5,2.5307692307692307,0.41462243632717505,0.6999999999999997,1.2,0.7,0.5249999999999999,0.6384615384615385,0.16538724611187705,0.29999999999999993,0.6000000000000001
1,9,3,1,1,39.997,40.18025,40.02266666666666,0.1745216000639723,0.3509999999999991,0.37400000000000233,8502,9013.75,15310,4829.640940185006,14163,4455,0,0,0,0,0,0,21.232,21.11175,20.8625,0.14955400362410953,0.2680000000000007,0.09600000000000009,0,0,0,0,0,0,4098.56,4023.6800000000003,3438.7200000000007,457.3213473990998,99.8400000000006,1419.52,0,0,0,0,0,0,136,134.5,132.53333333333333,1.2681431837544703,2,3,186,186,185.28571428571428,0.5113099925649136,0,1,46,47.5,48.142857142857146,4.2840332837725,3,15,2.9,2.3,2.65,0.3626788492763512,0.8999999999999999,0.8999999999999999,0.4,0.5,0.6500000000000001,0.21760730956581076,0.8,0.5
1,9,8,1,1,39.768,39.8425,40.15085714285714,0.20834926969350917,0.17600000000000193,0.4200000000000017,13803,12477.75,12109.57142857143,4615.570980141815,5301,14163,0,0,0,0,0,0,21.286,21.2485,21.016285714285715,0.16527981782969847,0.07500000000000284,0.375,0,0,0,0,0,0,5158.4,4783.360000000001,3835.7942857142866,495.9853160803455,760.3199999999997,960.0000000000005,0,0,0,0,0,0,137,136.25,133.66666666666666,1.4367767695018308,1,3,188,187,185.64285714285714,0.8726040960806523,2,1,55,51.25,49.785714285714285,2.826115373542836,7,8,3.3,3.175,2.5142857142857147,0.4654395631315676,0.2999999999999998,1.4,0,0,0.6,0.3271984467099619,0,0.8
1,9,13,1,1,39.791,39.789249999999996,39.963285714285725,0.1713400128399681,0.0449999999999946,0.5570000000000022,18731,16267,9908.42857142857,4841.037394458491,4928,11359,0,0,0,0,0,0,21.415,21.35025,21.211000000000002,0.09367632862924631,0.10800000000000054,0.22500000000000142,0,0,0,0,0,0,6809.6,6131.200000000001,4253.932307692308,931.096199591706,1310.7200000000003,1279.9999999999995,0,0,0,0,0,0,137,137,134.64285714285714,1.6179144164088313,0,4,188,188,186.42857142857142,1.0032626514091008,0,2,72,64.5,50.357142857142854,7.147603465086577,14,9,2.7,2.825,2.7571428571428567,0.4713005230280738,0.2999999999999998,1.4,0.6,0.625,0.37142857142857144,0.3102286738284511,0.30000000000000004,0.8
1,11,2,1,1,39.372,39.39075,39.488875,0.11005604632792072,0.05299999999999727,0.3890000000000029,2624,6496.25,10695.125,3776.4398458191954,5163,6840,0,0,0,0,0,0,23.099,23.08275,22.990125000000003,0.06108712109468246,0.04299999999999926,0.14999999999999858,0,0,0,0,0,0,48373.76,53432.32,76071.49714285714,11325.57082977064,21135.36,15482.87999999999,0,0,0,0,0,0,161,160.75,157.92857142857142,1.6169041669088868,1,3,196,196,196,0,0,0,214.88,224.2,284.7314285714286,32.83151427229278,75.99999999999997,43.039999999999964,3,3.35,3.3499999999999996,0.20976176963403032,0.5,0.8000000000000003,1.9,1.35,1.407142857142857,0.396265244237808,0.9999999999999999,1.4
0,11,38,1,1,38.982,38.9555,39.1366,0.11502330681697105,0.09100000000000108,0.1909999999999954,8900,8814.5,6286.4,1826.1436827369307,171,3698,0,0,0,0,0,0,23.388,23.364000000000004,23.291800000000002,0.04310291302349682,0.053000000000000824,0.054000000000002046,0,0,0,0,0,0,76021.76,74915.84,72800.54857142856,2032.290620440248,1843.199999999997,6144,0,0,0,0,0,0,169,168.5,166.57142857142858,1.5339299776947408,1,4,198,198,198,0,0,0,282.88,278.44,266.2971428571429,6.700600694952849,6.8799999999999955,16.95999999999998,4.5,4,3.978571428571428,0.44225358709016444,0.8999999999999999,1.6000000000000005,0.8,0.7750000000000001,0.7642857142857142,0.2656844656620286,0.30000000000000004,1.2
0,11,43,1,1,38.914,38.91175,39.01275,0.0705746818220659,0.12199999999999989,0.09900000000000375,39300,23590.75,7804.5,14010.276880485166,30400,3698,0,0,0,0,0,0,23.41,23.391,23.331999999999997,0.04245333572624969,0.053999999999998494,0.0849999999999973,0,0,0,0,0,0,75120.64,76298.23999999999,73429.57714285716,2170.802968173312,2293.7599999999948,6348.799999999988,0,0,0,0,0,0,171,170.5,167.92857142857142,1.3394467690277294,2,2,199,198.5,198,0.32338083338177726,1,0,288,287.2,271.87428571428575,9.131344852951806,2.079999999999984,24,4.3,4.775,3.9428571428571426,0.5633988823680739,1.5,1.1999999999999997,0.5,0.475,0.7214285714285714,0.29505732244669297,0.7,1.2
0,11,48,1,1,38.815,38.89275,38.929,0.06352138747435167,0.1670000000000016,0.07600000000000051,38564,31006.75,8814.5,16188.977628827173,30400,171,0,0,0,0,0,0,23.431,23.40975,23.366500000000002,0.02697900418226475,0.04299999999999926,0.020999999999997243,0,0,0,0,0,0,75120.64,75386.88,74348.70153846155,2124.4425496641525,860.1600000000035,7741.439999999988,0,0,0,0,0,0,171,171,169,1.3746657347707993,0,3,199,199,198.15384615384616,0.49259218307188896,0,1,292,289.68,278.25230769230774,9.346808200097602,5.1200000000000045,27.04000000000002,5.8,5.175000000000001,4.1,0.7851095839585258,1.5,2.4,0.8,0.7250000000000001,0.7,0.24614677591656092,0.20000000000000007,1.2
0,11,53,1,1,38.754,38.786249999999995,38.887,0.06053566441913985,0.06099999999999994,0.054000000000002046,34591,35584.25,38281.5,2173.174697686927,3973,2037,0,0,0,0,0,0,23.41,23.41525,23.41,0.008573214099741447,0.021000000000000796,0,0,0,0,0,0,0,72335.36,72519.68000000001,75451.24571428572,1509.239258871053,532.4799999999959,3481.5999999999913,0,0,0,0,0,0,174,172.5,170.07142857142858,1.613869624039901,2,4,199,199,198.5,0.5016313257045502,0,1,288,288.2,285.44,4.722272633333386,3.0400000000000205,16,6.9,6.675000000000001,4.685714285714285,1.1023000315146165,0.5,2.3000000000000003,0.8,0.6000000000000001,0.6714285714285716,0.25946148353447085,0.9,0.9
