label,hours,minutes,day,someonePresent,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarOld,sensorsNearBy.weather_station.light_level.lastMeasurementBeforeAction,sensorsNearBy.weather_station.light_level.meanRightBefore,sensorsNearBy.weather_station.light_level.meanOld,sensorsNearBy.weather_station.light_level.stdev,sensorsNearBy.weather_station.light_level.maxVarRightBefore,sensorsNearBy.weather_station.light_level.maxVarOld,sensorsNearBy.weather_station.rain_intensity.lastMeasurementBeforeAction,sensorsNearBy.weather_station.rain_intensity.meanRightBefore,sensorsNearBy.weather_station.rain_intensity.meanOld,sensorsNearBy.weather_station.rain_intensity.stdev,sensorsNearBy.weather_station.rain_intensity.maxVarRightBefore,sensorsNearBy.weather_station.rain_intensity.maxVarOld,sensorsNearBy.weather_station.sun_azimuth.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_azimuth.meanRightBefore,sensorsNearBy.weather_station.sun_azimuth.meanOld,sensorsNearBy.weather_station.sun_azimuth.stdev,sensorsNearBy.weather_station.sun_azimuth.maxVarRightBefore,sensorsNearBy.weather_station.sun_azimuth.maxVarOld,sensorsNearBy.weather_station.sun_elevation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_elevation.meanRightBefore,sensorsNearBy.weather_station.sun_elevation.meanOld,sensorsNearBy.weather_station.sun_elevation.stdev,sensorsNearBy.weather_station.sun_elevation.maxVarRightBefore,sensorsNearBy.weather_station.sun_elevation.maxVarOld,sensorsNearBy.weather_station.sun_radiation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_radiation.meanRightBefore,sensorsNearBy.weather_station.sun_radiation.meanOld,sensorsNearBy.weather_station.sun_radiation.stdev,sensorsNearBy.weather_station.sun_radiation.maxVarRightBefore,sensorsNearBy.weather_station.sun_radiation.maxVarOld,sensorsNearBy.weather_station.temperature.lastMeasurementBeforeAction,sensorsNearBy.weather_station.temperature.meanRightBefore,sensorsNearBy.weather_station.temperature.meanOld,sensorsNearBy.weather_station.temperature.stdev,sensorsNearBy.weather_station.temperature.maxVarRightBefore,sensorsNearBy.weather_station.temperature.maxVarOld,sensorsNearBy.weather_station.wind_speed.lastMeasurementBeforeAction,sensorsNearBy.weather_station.wind_speed.meanRightBefore,sensorsNearBy.weather_station.wind_speed.meanOld,sensorsNearBy.weather_station.wind_speed.stdev,sensorsNearBy.weather_station.wind_speed.maxVarRightBefore,sensorsNearBy.weather_station.wind_speed.maxVarOld
0,18,14,3,1,42.522,42.528,42.450875,0.05847681488237825,0.15200000000000102,0.09199999999999875,51145,51241.75,51255.875,34.90723637750705,129,22,0,0,0,0,0,0,22.251,22.2405,22.250124999999997,0.01238370140975883,0.021000000000000796,0.03200000000000003,0,0,0,0,0,0,0,0,0,0,0,0,32767,32767,32767,0,0,0,253,253,250.91666666666666,1.3149778198382918,0,3,164,164,165.58333333333334,1.1672617529928753,0,3,0,0,0,0,0,0,0,-0.02500000000000001,-0.43333333333333335,0.3400367627183861,0.4,0.8999999999999999,0.7,0.5999999999999999,0.725,0.18427786989579983,0.29999999999999993,0.7
0,19,37,4,1,36.076,35.969,35.483666666666664,0.28195241915377695,0.2289999999999992,0.534000000000006,51111,50628.75,50433.88888888889,189.75064609193745,643,113,0,0,0,0,0,0,20.846,20.86225,21.025,0.10594138437398762,0.03200000000000003,0.23600000000000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15123.23076923077,16140.76806271659,0,32767,267,267,264.85714285714283,1.283377895839496,0,3,150,150,151.8,1.0173926082384548,0,3,0,0,0,0,0,0,-0.4,-0.17500000000000002,0.007142857142857145,0.14142135623730953,0.4,0.5,1.6,0.9500000000000001,0.5866666666666666,0.3369974057199674,1.2000000000000002,0.8
1,18,15,3,1,41.103,41.03075,41.14325,0.12004522957142943,0.14500000000000313,0.28999999999999915,93,13178.25,52582.25,27195.15842808369,52584,67,0,0,0,0,0,0,22.283,22.3585,22.444499999999998,0.06112048990080377,0.12899999999999778,0.054000000000002046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,250.13333333333333,1.1239029738980326,2,3,164,164,165.4,1.1002392084403616,0,3,0,0,0,0,0,0,-0.2,-0.275,-0.24666666666666662,0.14669856112538154,0.2,0.6,2.2,1.4,1.4214285714285713,0.6109298602275445,1.9000000000000001,1.5999999999999999
0,18,20,3,1,41.027,41.069,40.9965,0.05605545723401424,0.07600000000000051,0.11500000000000199,93,72.75,39450,27189.673322986328,81,52584,0,0,0,0,0,0,22.294,22.30475,22.415,0.06312671496963122,0.06499999999999773,0.043000000000002814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,250.9375,1.3088765773505313,0,3,162,163.5,164.5625,0.7451598203705947,2,1,0,0,0,0,0,0,-0.2,-0.3,-0.23750000000000002,0.13954814298487214,0.2,0.6,0.5,1.175,1.3866666666666667,0.6030623603959344,1,2.1
1,13,52,2,1,40.852,40.885999999999996,40.74866666666667,0.08067520615956895,0.09899999999999665,0.09199999999999875,59038,46052.5,31804,9772.17950442309,17852,13466,0,0,0,0,0,0,22.391,22.42275,22.505166666666668,0.05169526090465232,0.06400000000000006,0.08600000000000207,0,0,0,0,0,0,14192.64,19951.36,11942.034285714286,6976.069485148936,24867.84,17607.68,0,0,0,0,0,0,202,202,199.35714285714286,1.6259738158018424,0,4,196,196,196.66666666666666,0.9048278567177281,0,2,86,99.5,85.4857142857143,23.86319834586549,78,84.96000000000001,2.3,2.275,2.3285714285714287,0.2833621669296359,0.09999999999999964,1.2000000000000002,0.6,0.9500000000000001,0.8538461538461539,0.4176263457995465,1,1.6
1,8,51,3,1,40.585,40.56375,40.548071428571426,0.01617631610146031,0.03900000000000148,0.05299999999999727,2076,2259.75,2086.1428571428573,317.4949384599893,245,793,0,0,0,0,0,0,20.761,20.768749999999997,20.74607142857143,0.015766266628427658,0.021000000000000796,0.0329999999999977,0,0,0,0,0,0,489.92,474.88,495.25333333333333,38.71277686239597,30.08000000000004,129.91999999999996,32767,32767,32767,0,0,0,133,133,130.53333333333333,1.2681431837544703,0,3,186,185.5,184.64285714285714,0.6183469424008423,1,1,16,16.25,17.071428571428573,0.9002541398626661,1,3,0,0.2,0.3714285714285714,0.2520504151250417,0.6,0.7,0.7,0.7750000000000001,0.7,0.17042334830374278,0.6000000000000001,0.5
0,10,53,3,1,41.538,41.5,41.5642,0.04380353866983877,0.06799999999999784,0.07600000000000051,56067,56083.5,55319.2,465.3483760701343,66,734,0,0,0,0,0,0,21.887,21.867749999999997,21.818,0.028846336181759934,0.03300000000000125,0.03200000000000003,0,0,0,0,0,0,999.68,929.6,821.897142857143,68.4168641825622,110.07999999999993,149.76,0,24575.25,32767,7723.2559663798675,32767,0,160,158.5,156.21428571428572,1.5645166724265531,2,4,196,196,196,0,0,0,20,20.25,18.76923076923077,1.166316474052844,1,3,-0.6,-0.525,-0.5499999999999998,0.06156987634551991,0.09999999999999998,0.19999999999999996,1.7,1.15,1.392857142857143,0.4174698141801799,1,1.3
1,13,17,3,1,42.66,42.56225,42.144444444444446,0.28085049403552653,0.17599999999999483,0.5640000000000001,26692,23713.75,25749.222222222223,3691.529165118851,4105,8450,0,0,0,0,0,0,21.329,21.294,21.278888888888886,0.017076374442561857,0.054000000000002046,0.03200000000000003,0,0,0,0,0,0,4538.88,4234.24,4037.302857142857,904.732544840804,609.2800000000002,3210.24,32767,32767,32767,0,0,0,193,193,191.13333333333333,1.3067525929498998,0,3,198,198,198.53333333333333,0.507257273501788,0,1,67,63.75,61.137142857142855,12.63954930113996,7,43.959999999999994,0.5,0.35000000000000003,0.14666666666666664,0.36801983165480096,0.3,1.2,0.3,0.35000000000000003,0.8000000000000002,0.32909587291130143,0.7,1
0,10,24,4,1,44.079,44.01975,43.03814285714286,0.7119708497607822,0.3359999999999985,1.5869999999999962,38102,38102,28585,5092.379740178634,0,5170,0,0,0,0,0,0,21.844,21.78725,21.474285714285713,0.19615884101689374,0.10800000000000054,0.375,0,0,0,0,0,0,9728,9959.68,8520.021333333332,1122.1574627517107,629.7600000000002,3118.080000000001,0,0,0,0,0,0,152,151.75,149.64285714285714,1.3672165321380636,1,3,195,195,194,1.0032626514091003,0,2,132.96,136.22000000000003,116.83428571428574,13.692964082311661,9.039999999999992,39.040000000000006,1.2,0.725,0.39333333333333337,0.2928984016416111,1,0.7,0.8,0.9749999999999999,0.7833333333333333,0.2725649769626807,0.7,0.7
1,10,24,4,1,44.079,44.01975,43.03814285714286,0.7119708497607822,0.3359999999999985,1.5869999999999962,38102,38102,28585,5092.379740178634,0,5170,0,0,0,0,0,0,21.844,21.78725,21.474285714285713,0.19615884101689374,0.10800000000000054,0.375,0,0,0,0,0,0,9728,9959.68,8520.021333333332,1122.1574627517107,629.7600000000002,3118.080000000001,0,0,0,0,0,0,152,151.75,149.64285714285714,1.3672165321380636,1,3,195,195,194,1.0032626514091003,0,2,132.96,136.22000000000003,116.83428571428574,13.692964082311661,9.039999999999992,39.040000000000006,1.2,0.725,0.39333333333333337,0.2928984016416111,1,0.7,0.8,0.9749999999999999,0.7833333333333333,0.2725649769626807,0.7,0.7
