label,hours,minutes,day,someonePresent,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.humidity.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.light.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.light.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.pressure.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.temperature.maxVarOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.lastMeasurementBeforeAction,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.meanOld,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.stdev,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarRightBefore,sensorsNearBy.thunderboard_086bd7fe10cb.uvi.maxVarOld,sensorsNearBy.weather_station.light_level.lastMeasurementBeforeAction,sensorsNearBy.weather_station.light_level.meanRightBefore,sensorsNearBy.weather_station.light_level.meanOld,sensorsNearBy.weather_station.light_level.stdev,sensorsNearBy.weather_station.light_level.maxVarRightBefore,sensorsNearBy.weather_station.light_level.maxVarOld,sensorsNearBy.weather_station.rain_intensity.lastMeasurementBeforeAction,sensorsNearBy.weather_station.rain_intensity.meanRightBefore,sensorsNearBy.weather_station.rain_intensity.meanOld,sensorsNearBy.weather_station.rain_intensity.stdev,sensorsNearBy.weather_station.rain_intensity.maxVarRightBefore,sensorsNearBy.weather_station.rain_intensity.maxVarOld,sensorsNearBy.weather_station.sun_azimuth.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_azimuth.meanRightBefore,sensorsNearBy.weather_station.sun_azimuth.meanOld,sensorsNearBy.weather_station.sun_azimuth.stdev,sensorsNearBy.weather_station.sun_azimuth.maxVarRightBefore,sensorsNearBy.weather_station.sun_azimuth.maxVarOld,sensorsNearBy.weather_station.sun_elevation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_elevation.meanRightBefore,sensorsNearBy.weather_station.sun_elevation.meanOld,sensorsNearBy.weather_station.sun_elevation.stdev,sensorsNearBy.weather_station.sun_elevation.maxVarRightBefore,sensorsNearBy.weather_station.sun_elevation.maxVarOld,sensorsNearBy.weather_station.sun_radiation.lastMeasurementBeforeAction,sensorsNearBy.weather_station.sun_radiation.meanRightBefore,sensorsNearBy.weather_station.sun_radiation.meanOld,sensorsNearBy.weather_station.sun_radiation.stdev,sensorsNearBy.weather_station.sun_radiation.maxVarRightBefore,sensorsNearBy.weather_station.sun_radiation.maxVarOld,sensorsNearBy.weather_station.temperature.lastMeasurementBeforeAction,sensorsNearBy.weather_station.temperature.meanRightBefore,sensorsNearBy.weather_station.temperature.meanOld,sensorsNearBy.weather_station.temperature.stdev,sensorsNearBy.weather_station.temperature.maxVarRightBefore,sensorsNearBy.weather_station.temperature.maxVarOld,sensorsNearBy.weather_station.wind_speed.lastMeasurementBeforeAction,sensorsNearBy.weather_station.wind_speed.meanRightBefore,sensorsNearBy.weather_station.wind_speed.meanOld,sensorsNearBy.weather_station.wind_speed.stdev,sensorsNearBy.weather_station.wind_speed.maxVarRightBefore,sensorsNearBy.weather_station.wind_speed.maxVarOld
0,18,17,2,1,40.127,40.19575,40.24466666666667,0.052871760675459255,0.12999999999999545,0.15200000000000102,52567,52586.5,52577.555555555555,18.22262611601584,39,40,0,0,0,0,0,0,22.359,22.369500000000002,22.378777777777774,0.01707074270236167,0.020999999999997243,0.053000000000000824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,251.42857142857142,1.3085940167422419,0,3,164,164,165.06666666666666,0.8983415518941834,0,3,0,0,0,0,0,0,0.4,0.2,0.7615384615384617,0.3601470287992686,0.4,0.9,0.5,0.575,0.8,0.3280961121737492,0.7,1.2
0,10,20,4,1,43.629,43.48374999999999,42.3304,0.6874467252085782,0.5349999999999966,0.9919999999999973,30702,29955.5,24928.6,3400.159546910181,1493,7024,0,0,0,0,0,0,21.661,21.57275,21.2474,0.20762767156619608,0.1930000000000014,0.36400000000000077,0,0,0,0,0,0,10347.52,10069.759999999998,7696.822857142857,1182.6017471936018,890.880000000001,2048.000000000001,0,0,7021.5,12565.570894780894,0,32767,151,150.75,148.69230769230768,1.467791458179902,1,3,195,195,193.5,1.02469507659596,0,2,142,138.74,107.6857142857143,15.256440105931738,9.039999999999992,26,0.5,0.55,0.3071428571428572,0.2452822836912818,0.39999999999999997,0.6,1.4,0.825,0.8500000000000001,0.268250504814685,0.8999999999999999,0.7
1,10,20,4,1,43.629,43.48374999999999,42.3304,0.6874467252085782,0.5349999999999966,0.9919999999999973,30702,29955.5,24928.6,3400.159546910181,1493,7024,0,0,0,0,0,0,21.661,21.57275,21.2474,0.20762767156619608,0.1930000000000014,0.36400000000000077,0,0,0,0,0,0,10347.52,10069.759999999998,7696.822857142857,1182.6017471936018,890.880000000001,2048.000000000001,0,0,7021.5,12565.570894780894,0,32767,151,150.75,148.69230769230768,1.467791458179902,1,3,195,195,193.5,1.02469507659596,0,2,142,138.74,107.6857142857143,15.256440105931738,9.039999999999992,26,0.5,0.55,0.3071428571428572,0.2452822836912818,0.39999999999999997,0.6,1.4,0.825,0.8500000000000001,0.268250504814685,0.8999999999999999,0.7
0,18,8,1,1,39.188,39.233999999999995,39.30862499999999,0.06248363422092705,0.12199999999999989,0.17500000000000426,52556,52551.25,52604.375,36.437576342245514,19,101,0,0,0,0,0,0,22.734,22.73675,22.796999999999997,0.034452756409935725,0.010999999999999233,0.06400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,250.75,249.33333333333334,1.0651304727481081,1,2,165,165,166.6,1.2841817655680774,0,3,0,0,0,0,0,0,2.2,2.075,2.2800000000000002,0.17065405655167956,0.30000000000000027,0.5,0,0,0.06666666666666667,0.10733344230135038,0,0.4
0,12,40,2,1,39.471,39.4135,39.51144444444444,0.10818686350891887,0.12999999999999545,0.3430000000000035,48385,36678,29536,21079.970926669488,46828,43959,0,0,0,0,0,0,23.163,23.16025,23.071111111111108,0.053256635556231086,0.010999999999999233,0.10699999999999932,0,0,0,0,0,0,28446.72,29440,38751.08571428571,8741.803464542369,2744.3199999999997,32911.36,0,0,0,0,0,0,185,184.5,181.35714285714286,1.6617574758359694,1,5,199,199,199,0,0,0,272.96,278.44,313.02857142857147,33.659963922170654,12,132,2.3,2.3499999999999996,3.492857142857143,0.6929382358427124,0.20000000000000018,1.8000000000000003,0.8,1.4749999999999999,0.9928571428571428,0.44192094049395175,1,1.2
0,19,38,2,1,40.417,40.44525,40.3211,0.1485218006715693,0.06799999999999784,0.44299999999999784,52349,52333.5,52287.4,25.028335590238168,31,22,0,0,0,0,0,0,21.94,21.959,22.0648,0.06183067982023923,0.04299999999999926,0.10800000000000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,267,264.35714285714283,1.2113299556429324,0,1,150,150,151.78571428571428,1.0369008625190792,0,3,0,0,0,0,0,0,1.5,1.925,1.9230769230769231,0.5297752020488335,1,1.7000000000000002,0.5,0.225,0.37857142857142856,0.21753220781739077,0.5,0.7
0,18,8,3,1,40.958,41.07075,41.2072,0.11822553775634852,0.3130000000000024,0.12199999999999989,52596,52580.75,52594.8,20.29230834029923,61,9,0,0,0,0,0,0,22.412,22.436500000000002,22.4486,0.02047423855591361,0.06500000000000128,0.03200000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,250.25,248.8,1.2425214883947908,1,3,165,165,166.86666666666667,1.3485968449808852,0,3,0,0,0,0,0,0,-0.3,-0.275,-0.29999999999999993,0.17150861400630163,0.09999999999999998,0.6,2.4,1.725,1.2357142857142858,0.5533026214014111,1.4,1.2999999999999998
1,21,26,3,1,43.232,43.21675,43.18828571428572,0.019961326244880076,0.030999999999998806,0.03800000000000381,25,6.25,6.857142857142857,6.9465491759970615,25,3,0,0,0,0,0,0,20.278,20.2885,20.345142857142857,0.0375029695793913,0.021000000000000796,0.07499999999999929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,288,286.26666666666665,1.570934835475342,0,4,131,132,133.53333333333333,0.917662935482247,2,1,0,0,0,0,0,0,-0.5,-0.55,-0.3714285714285714,0.14507153971054051,0.09999999999999998,0.6,0.9,1.25,1.357142857142857,0.49705012174770835,0.9999999999999999,1.7999999999999998
0,21,27,3,1,43.232,43.21675,43.19116666666667,0.01869164994797848,0.030999999999998806,0.03800000000000381,25,6.25,7,7.318925239860472,25,3,0,0,0,0,0,0,20.278,20.2885,20.340333333333334,0.03555027738601001,0.021000000000000796,0.07499999999999929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,288.25,286.53333333333336,1.5236920380774408,1,4,131,131.5,133.46666666666667,1.025978352085154,2,1,0,0,0,0,0,0,-0.5,-0.55,-0.3857142857142857,0.14371358589653874,0.09999999999999998,0.6,1,1.2750000000000001,1.364285714285714,0.48655115470399496,0.9999999999999999,1.7999999999999998
1,18,44,3,1,35.053,35.11425,35.199124999999995,0.11164459302409264,0.3510000000000062,0.259999999999998,52355,52353,52353,22.98616184498048,8,74,0,0,0,0,0,0,22.101,22.116999999999997,22.109374999999996,0.01715415843214611,0.03200000000000003,0.043000000000002814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,257,255,1.381483525788905,0,4,164,164,165.28571428571428,1.0289915108550531,0,3,0,0,0,0,0,0,0.5,0.625,0.9230769230769229,0.2211267935450822,0.19999999999999996,0.6000000000000001,2.5,2.35,1.1285714285714286,0.6885620139528636,1.0999999999999999,1.8
